ID,Empresa,Setor,Subsetor,Escopo,2008,2009,2010,2011,2012,2013
1,IBOPE,"Atividades profissionais, científicas e técnicas","Atividades profissionais, científicas e técnicas",Escopo 1,,137.4,112.61,5.62,3.14,3.14
1,IBOPE,"Atividades profissionais, científicas e técnicas","Atividades profissionais, científicas e técnicas",Escopo 2 - localização,,43.53,111.92,66.83,169.99,227.14
1,IBOPE,"Atividades profissionais, científicas e técnicas","Atividades profissionais, científicas e técnicas",Escopo   3,,446.32,1066.29,1241.05,1438.42,1428.04
3,Universidade Regional Integrada do Alto Uruguai e das Missões,Educação,Educação,Escopo 1,,,,,145.71,205.06
3,Universidade Regional Integrada do Alto Uruguai e das Missões,Educação,Educação,Escopo 2 - localização,,,,,75.88,115.58
3,Universidade Regional Integrada do Alto Uruguai e das Missões,Educação,Educação,Escopo   3,,,,,519.23,148.71
7,CSN Porto Real,Indústrias de transformação,Indústrias de transformação,Escopo 1,,,,,,
7,CSN Porto Real,Indústrias de transformação,Indústrias de transformação,Escopo 2 - localização,,,,,,
7,CSN Porto Real,Indústrias de transformação,Indústrias de transformação,Escopo   3,,,,,,
13,Anglo American,Indústrias extrativas,Extração de minerais metálicos,Escopo 1,175529.52,194931.36,176611.52,443003.37,634634.24,895962.4
13,Anglo American,Indústrias extrativas,Extração de minerais metálicos,Escopo 2 - localização,101980.88,18548.14,15668.37,22236.92,93828.5,139408.55
13,Anglo American,Indústrias extrativas,Extração de minerais metálicos,Escopo   3,43023.85,41665.26,21347.37,18416.17,48822.24,40994.93
15,SDS,"Administração pública, defesa e seguridade social","Administração pública, defesa e seguridade social",Escopo 1,,,,,37.26,
15,SDS,"Administração pública, defesa e seguridade social","Administração pública, defesa e seguridade social",Escopo 2 - localização,,,,,11.04,
15,SDS,"Administração pública, defesa e seguridade social","Administração pública, defesa e seguridade social",Escopo   3,,,,,44.5,
17,SGS,Outras atividades de serviços,Outras atividades de serviços,Escopo 1,,,,,,3.57
17,SGS,Outras atividades de serviços,Outras atividades de serviços,Escopo 2 - localização,,,,,,31.86
17,SGS,Outras atividades de serviços,Outras atividades de serviços,Escopo   3,,,,,,0
